feature,ens_mean_abs_shap,ens_share_pct,coverage,n_models,mean_rank,ens_mean_signed
G_Bookie_H_Probability,1.7556266408571426,24.752697579578193,1.0,14,1.0,-0.021076809857142855
G_VHRatio_DaysRest,0.3076372156428571,4.930978820115107,1.0,14,8.5,0.11759531485714288
G_VHRatio_ClosingProbabilityLine_HV,0.4346062992142858,4.080277625906647,1.0,14,7.857142857142857,-0.007023286642857142
V_StartingPitcher_StrikeoutAccuracy_YTD,0.25059415757142856,3.754293325545164,1.0,14,5.071428571428571,-0.13915082714285715
G_VHRatio_MenOnBase_Strength_YTD,0.3846161864285715,3.683742211489455,1.0,14,9.428571428571429,0.01632076957142857
G_VHRatio_Runs_5InningsAllowed_YTD,0.09540929864285715,2.935177668897632,1.0,14,9.571428571428571,0.005320706285714285
G_VHRatio_MenOnBase_Allowed_20G,0.13780625300000002,2.819784416757698,1.0,14,9.571428571428571,0.0036618909285714286
V_MenOnBase_Strength_YTD,0.12287198385714285,2.7600930128965593,1.0,14,11.214285714285714,-0.021710983214285717
G_VHRatio_StartingPitcher_Strikes_Ratio_5G,0.14519222992857142,2.641365486933608,1.0,14,10.857142857142858,-0.005260440571428572
G_VHRatio_K_Per_9_YTD,0.1396383304285714,2.3094565736987422,1.0,14,15.071428571428571,-0.02726782457142857
G_VHRatio_StartingPitcher_StrikeoutsImpact_YTD,0.16760993842857141,2.1169299080692676,1.0,14,16.357142857142858,-0.006705406428571428
G_VHRatio_StartingPitcher_WalkHitsAllowedPerInning_5G,0.10196722978571429,2.080768033390892,1.0,14,15.142857142857142,8.179328571428592e-05
G_VHRatio_K_Minus_BB_Pct_20G,0.12481856264285714,2.078991012243053,1.0,14,16.357142857142858,0.0027703257142857145
G_VHRatio_K_Minus_BB_Pct_5G,0.12062560414285715,2.066691098162281,1.0,14,16.5,-0.002286836071428572
G_VHRatio_StartingPitcher_WalkHitsAllowedPerInning_YTD,0.1055497087857143,2.049815102281352,1.0,14,16.928571428571427,-0.0048488565714285715
G_VHRatio_OutsPitched_YTD,0.12627269492857143,1.9557926938460573,1.0,14,17.428571428571427,0.008691114785714285
V_Run_Differential_Per_Game_20G,0.09255704278571428,1.9056104065111663,1.0,14,19.285714285714285,0.0032541
G_VHRatio_BallpenOuts_YTD,0.12034918014285712,1.8745178886005371,1.0,14,19.428571428571427,-0.0005041105714285716
H_Run_Differential_Per_Game_YTD,0.10331181614285713,1.8735442616084852,1.0,14,19.357142857142858,0.018503475428571423
G_H_CLL_OPL_Prob_Diff,0.10261863607142858,1.799008915859627,1.0,14,19.928571428571427,-0.007592803142857142
G_VHRatio_StartingPitcher_StrikesImpact_YTD,0.11836287214285715,1.7846750752343705,1.0,14,23.142857142857142,0.006040739500000001
G_VHRatio_StartingPitcher_StrikeoutAccuracy_5G,0.12842066257142856,1.7460859791943013,1.0,14,20.642857142857142,0.006693016357142858
G_VHRatio_Run_Pythag_20G,0.10175631057142856,1.7226659597767244,1.0,14,21.785714285714285,-0.011021530214285714
H_EarnedRuns_YTD,0.07974306042857142,1.5971672062412088,1.0,14,24.285714285714285,-0.0052597895
G_VHRatio_Weighted_Offense_Index_YTD,0.07035605535714286,1.567266624072058,1.0,14,23.25,0.004612018428571428
G_VHRatio_FIP,0.08975347192857144,1.5601510898024957,1.0,14,22.0,-0.0010036225000000006
G_VHRatio_K_Minus_BB_Pct_YTD,0.07308657628571429,1.5298745078891616,1.0,14,23.428571428571427,-0.014006579857142858
G_VHRatio_TotalDistanceTravelled_3G,0.05340778514285715,1.4983746265461637,1.0,14,24.785714285714285,-0.0037701470000000006
G_VHRatio_Run_Pythag,0.08055857228571428,1.4160184349815441,1.0,14,25.571428571428573,-0.015511188999999998
G_VHRatio_FIP_YTD,0.06871413978571429,1.3729659345721745,1.0,14,27.214285714285715,0.012781522142857143
G_VHRatio_K_Per_9_20G,0.07067637735714286,1.3458472445848424,1.0,14,27.785714285714285,0.001973582142857143
G_VHRatio_EarnedRuns,0.06866329792857143,1.3132329493582113,1.0,14,28.214285714285715,0.002405038071428572
V_Run_Differential_Per_Game_YTD,0.05408523042857143,1.311875329615112,1.0,14,28.071428571428573,-0.008951714999999999
H_Run_Differential_Per_Game_20G,0.05170382335714286,1.2646181119207718,1.0,14,29.928571428571427,7.601314285714292e-05
G_VHRatio_wOBA_YTD,0.049238930642857136,1.1964702351677212,1.0,14,30.357142857142858,-0.0006555447142857142
G_VHRatio_MenOnBase_Strength_20G,0.07125939942857143,1.1802934103648275,1.0,14,30.357142857142858,-0.005126122142857141
G_VHRatio_FIP_YTD_HV,0.05105572285714286,1.0738216774578866,1.0,14,32.42857142857143,-0.004599775428571429
G_VHRatio_OPS_YTD,0.05281212699999999,1.0490595608288942,1.0,14,32.892857142857146,-0.00023841242857142845
