feature,ens_share_pct,ens_mean_abs_shap,coverage,n_models,mean_rank,rank_sd,rank_min,rank_max,stability_index,stability_tier,ens_mean_signed
G_Bookie_H_Probability,24.752697579578196,1.7556266408571426,1.0,14,1.0,0.0,1,1,1.0,Core,-0.0210768098571428
G_VHRatio_DaysRest,4.930978820115107,0.3076372156428571,1.0,14,8.5,10.335445252693692,2,35,18.83544525269369,Variable,0.1175953148571428
G_VHRatio_ClosingProbabilityLine_HV,4.080277625906647,0.4346062992142858,1.0,14,7.857142857142857,7.079720967636496,2,23,14.936863824779351,Variable,-0.0070232866428571
V_StartingPitcher_StrikeoutAccuracy_YTD,3.754293325545164,0.2505941575714285,1.0,14,5.071428571428571,3.654044446408189,3,17,8.72547301783676,Steady,-0.1391508271428571
G_VHRatio_MenOnBase_Strength_YTD,3.683742211489455,0.3846161864285715,1.0,14,9.428571428571429,8.457577208923247,2,31,17.886148637494678,Variable,0.0163207695714285
G_VHRatio_Runs_5InningsAllowed_YTD,2.935177668897632,0.0954092986428571,1.0,14,9.571428571428571,8.772638353053738,2,31,18.34406692448231,Variable,0.0053207062857142
G_VHRatio_MenOnBase_Allowed_20G,2.819784416757698,0.137806253,1.0,14,9.571428571428571,5.421047417431508,2,22,14.99247598886008,Steady,0.0036618909285714
V_MenOnBase_Strength_YTD,2.7600930128965597,0.1228719838571428,1.0,14,11.214285714285714,8.125608297480357,4,34,19.33989401176607,Variable,-0.0217109832142857
G_VHRatio_StartingPitcher_Strikes_Ratio_5G,2.641365486933608,0.1451922299285714,1.0,14,10.857142857142858,7.139999428342743,4,31,17.9971422854856,Variable,-0.0052604405714285
G_VHRatio_K_Per_9_YTD,2.3094565736987422,0.1396383304285714,1.0,14,15.071428571428571,6.74499058258673,6,26,21.8164191540153,Variable,-0.0272678245714285
G_VHRatio_StartingPitcher_StrikeoutsImpact_YTD,2.116929908069268,0.1676099384285714,1.0,14,16.357142857142858,7.157485021761114,6,29,23.514627878903973,Variable,-0.0067054064285714
G_VHRatio_StartingPitcher_WalkHitsAllowedPerInning_5G,2.080768033390892,0.1019672297857142,1.0,14,15.142857142857142,7.472398188926869,7,37,22.615255331784013,Variable,8.179328571428592e-05
G_VHRatio_K_Minus_BB_Pct_20G,2.078991012243053,0.1248185626428571,1.0,14,16.357142857142858,8.303245001264289,8,35,24.660387858407148,Variable,0.0027703257142857
G_VHRatio_K_Minus_BB_Pct_5G,2.066691098162281,0.1206256041428571,1.0,14,16.5,7.871739687914338,4,30,24.37173968791434,Variable,-0.0022868360714285
G_VHRatio_StartingPitcher_WalkHitsAllowedPerInning_YTD,2.049815102281352,0.1055497087857143,1.0,14,16.928571428571427,9.338585742684456,4,30,26.26715717125588,Variable,-0.0048488565714285
G_VHRatio_OutsPitched_YTD,1.9557926938460573,0.1262726949285714,1.0,14,17.428571428571427,5.447335989982178,10,28,22.87590741855361,Steady,0.0086911147857142
V_Run_Differential_Per_Game_20G,1.9056104065111663,0.0925570427857142,1.0,14,19.285714285714285,7.941109776964169,3,32,27.226824062678453,Variable,0.0032541
G_VHRatio_BallpenOuts_YTD,1.8745178886005367,0.1203491801428571,1.0,14,19.428571428571427,7.575470619178773,8,33,27.0040420477502,Variable,-0.0005041105714285
