feature,ens_share_pct,ens_mean_abs_shap,coverage,n_models,mean_rank,rank_sd,rank_min,rank_max,stability_index,stability_tier,ens_mean_signed
G_VHRatio_MenOnBase_Strength_YTD,14.600210548141575,4.1872291632682925,1.0,41,1.4146341463414631,0.8256737014541832,1,5,2.240307847795646,Core,0.0044469032926829
G_VHRatio_ClosingProbabilityLine_HV,11.16465022443364,3.327969120073171,1.0,41,1.804878048780488,0.5934402468583628,1,3,2.398318295638851,Core,-0.1140823720975609
V_StartingPitcher_StrikeoutAccuracy_YTD,6.879581441841061,1.9264214891219509,1.0,41,4.121951219512195,2.0265929832039986,2,14,6.148544202716193,Core,-1.02368552
G_VHRatio_StartingPitcher_StrikeoutsImpact_YTD,6.126558263932225,1.7278387084390243,1.0,41,4.829268292682927,2.546182594801052,3,19,7.375450887483979,Steady,-0.0087050296585365
H_BallpenOuts_YTD,5.983337574853553,1.613861084390244,1.0,41,4.7073170731707314,1.6710432324839648,2,12,6.378360305654696,Core,-1.2295207989756096
V_ClosingProbabilityLine_YTD_HV,3.416737981136001,0.8627800329756098,1.0,41,9.96341463414634,6.55780139009874,2,33,16.52121602424508,Variable,-0.2719471192195122
G_VHRatio_StartingPitcher_StrikesImpact_YTD,3.1256256380499425,0.9104306703658536,1.0,41,12.317073170731708,7.816302614127837,4,33,20.133375784859545,Variable,0.0919187194634146
G_VHRatio_OPS_YTD,2.9487395464542416,0.8454143793414634,1.0,41,11.682926829268292,5.757027622256691,5,27,17.439954451524983,Steady,-0.0007539342439024
G_VHRatio_MenOnBase_Allowed_20G,2.918963458149002,0.778635493487805,1.0,41,10.878048780487806,5.657695479960187,4,32,16.53574426044799,Steady,-0.0069268068292682
G_VHRatio_StartingPitcher_WalkHitsAllowedPerInning_5G,2.810005707133895,0.727003861902439,1.0,41,11.48780487804878,4.445452328048498,5,26,15.93325720609728,Steady,0.0282934925365853
G_VHRatio_MenOnBase_Strength_20G,2.7142047560575,0.7227985696585366,1.0,41,15.024390243902438,8.489556869926115,5,34,23.513947113828557,Variable,-0.0712282031951219
G_VHRatio_BallpenOuts_YTD,2.4761736600028232,0.6917268041463415,1.0,41,13.439024390243905,5.065660482242798,7,32,18.5046848724867,Steady,0.0630634927317073
G_VHRatio_StartingPitcher_StrikeoutAccuracy_5G,2.182608136692547,0.6073574473658536,1.0,41,16.51219512195122,6.336583488236452,8,31,22.848778610187672,Variable,0.0497339619999999
G_VHRatio_OutsPitched_YTD,2.176443321578043,0.5711799858780487,1.0,41,15.658536585365852,5.555088882507998,7,29,21.21362546787385,Steady,0.0478453569756097
G_VHRatio_StartingPitcher_WalkHitsAllowedPerInning_YTD,2.123922037487288,0.6080814561707317,1.0,41,16.829268292682926,6.669561140440039,5,31,23.498829433122964,Variable,-0.0041111069999999
G_VHRatio_MenOnBase_Efficiency_20G,1.965472370204125,0.4907621020487805,1.0,41,17.853658536585368,6.186377542869084,6,33,24.040036079454453,Variable,0.012722941609756
V_ClosingProbabilityLine_HV,1.9168179131301537,0.5414066631707317,1.0,41,18.70731707317073,7.451449040415135,7,35,26.158766113585862,Variable,-0.0719247597804878
G_VHRatio_StartingPitcher_Strikes_Ratio_5G,1.877624755502915,0.4265387344634146,1.0,41,17.902439024390244,6.419501074940328,3,32,24.32194009933057,Variable,-0.0101457462195121
G_VHRatio_K_Per_9_YTD,1.8677728243941571,0.433221071804878,1.0,41,18.146341463414632,4.469740951787437,8,27,22.61608241520207,Steady,-0.1122195436097561
G_VHRatio_K_Per_9,1.7460467163944862,0.3854421086097561,1.0,41,19.463414634146343,5.360640483100329,7,34,24.824055117246672,Steady,0.030219695609756
G_VHRatio_FIP_YTD,1.7404468464905232,0.4593382456585366,1.0,41,20.036585365853657,6.661126986517938,6,34,26.6977123523716,Variable,0.1216970095609756
G_VHRatio_Run_Pythag,1.7037826815371402,0.41635345,1.0,41,20.02439024390244,5.791026720872218,8,31,25.815416964774656,Steady,-0.069300558609756
V_Pythag_Luck_Factor_YTD,1.5397884198312513,0.333536347,1.0,41,21.75609756097561,5.711693131594715,10,33,27.467790692570325,Steady,0.017832202
G_VHRatio_Runs_5InningsAllowed_YTD,1.5082169188761163,0.2731475970731707,1.0,41,22.365853658536587,8.844885796836044,2,35,31.210739455372632,Variable,-0.0017405450243902
G_VHRatio_FIP,1.5034867463945725,0.3758282377804878,1.0,41,22.4390243902439,4.5158192433299975,14,31,26.954843633573898,Steady,0.0120979318536585
